NAME,B08303_001E,B08303_013E,state,county
"Autauga County, Alabama",23995,398,01,001
"Baldwin County, Alabama",90849,1369,01,003
"Barbour County, Alabama",8403,235,01,005
"Bibb County, Alabama",7818,52,01,007
"Blount County, Alabama",22172,522,01,009
"Bullock County, Alabama",3947,213,01,011
"Butler County, Alabama",7693,289,01,013
"Calhoun County, Alabama",46177,1211,01,015
"Lewis County, Kentucky",3573,520,21,135
"Lincoln County, Kentucky",8842,411,21,137
"Livingston County, Kentucky",3568,75,21,139
"Logan County, Kentucky",10729,150,21,141
"Lyon County, Kentucky",2865,58,21,143
"McCracken County, Kentucky",27590,345,21,145
"McCreary County, Kentucky",4709,225,21,147
"Madison County, Kentucky",39531,692,21,151
"Marion County, Kentucky",6871,141,21,155
"Marshall County, Kentucky",12503,307,21,157
"Mason County, Kentucky",6885,303,21,161
"Meade County, Kentucky",12624,321,21,163
"Mercer County, Kentucky",8965,298,21,167
"Metcalfe County, Kentucky",4009,18,21,169
"Montgomery County, Kentucky",11428,260,21,173
"Morgan County, Kentucky",3720,268,21,175
"Nelson County, Kentucky",20716,247,21,179
"Nicholas County, Kentucky",2783,164,21,181
"Oldham County, Kentucky",28377,573,21,185
"Owen County, Kentucky",4242,420,21,187
"Pendleton County, Kentucky",6244,173,21,191
"Pike County, Kentucky",18150,512,21,195
"Powell County, Kentucky",4599,230,21,197
"Robertson County, Kentucky",769,88,21,201
"Rockcastle County, Kentucky",5869,109,21,203
"Russell County, Kentucky",6897,187,21,207
"Scott County, Kentucky",26194,285,22,209
"Simpson County, Kentucky",7451,106,21,213
"Spencer County, Kentucky",8942,59,21,215
"Todd County, Kentucky",4593,122,21,219
"Trimble County, Kentucky",3435,8,21,223
"Union County, Kentucky",6198,95,21,225
"Washington County, Kentucky",5322,40,21,229
"Wayne County, Kentucky",6943,290,21,231
"Whitley County, Kentucky",12182,244,21,235
"Wolfe County, Kentucky",1478,63,21,237
"Androscoggin County, Maine",49259,794,23,001
"Aroostook County, Maine",27630,462,23,003
"Franklin County, Maine",13100,505,23,007
"Hancock County, Maine",24933,412,23,009
"Knox County, Maine",17252,333,23,013
"Lincoln County, Maine",14631,242,23,015
"Penobscot County, Maine",67524,1316,23,019
"Piscataquis County, Maine",6033,168,23,021
"Somerset County, Maine",20135,862,23,025
"Washington County, Maine",11528,340,23,029
"York County, Maine",99895,2532,23,031
"Anoka County, Minnesota",173950,2593,27,003
"Becker County, Minnesota",14504,285,27,005
"Beltrami County, Minnesota",19634,537,27,007
"Benton County, Minnesota",20285,651,27,009
"Big Stone County, Minnesota",1968,27,27,011
"Blue Earth County, Minnesota",34147,722,27,013
"Brown County, Minnesota",11991,167,27,015
"Carlton County, Minnesota",15290,417,27,017
"Carver County, Minnesota",50165,926,27,019
"Cass County, Minnesota",11328,264,27,021
"Chippewa County, Minnesota",5156,116,27,023
"Chisago County, Minnesota",27068,544,27,025
"Meigs County, Tennessee",4362,131,47,121
"Montgomery County, Tennessee",92983,1958,47,125
"Moore County, Tennessee",2609,79,47,127
"Obion County, Tennessee",12096,195,47,131
"Overton County, Tennessee",8991,248,47,133
"Pickett County, Tennessee",1700,18,47,137
"Polk County, Tennessee",6960,157,47,139
"Rhea County, Tennessee",12117,118,47,143
"Roane County, Tennessee",21187,450,47,145
"Rutherford County, Tennessee",157589,4015,47,149
"Scott County, Tennessee",7845,283,47,151
"Sequatchie County, Tennessee",5723,196,47,153
"Shelby County, Tennessee",406832,4350,47,157
"Smith County, Tennessee",8453,405,47,159
"Sullivan County, Tennessee",62440,930,47,163
"Sumner County, Tennessee",86178,1978,47,165
"Trousdale County, Tennessee",4305,245,47,169
"Unicoi County, Tennessee",6913,40,47,171
"Van Buren County, Tennessee",2258,27,47,175
"Warren County, Tennessee",17031,500,47,177
"Wayne County, Tennessee",5786,364,47,181
"Weakley County, Tennessee",13777,210,47,183
"Williamson County, Tennessee",99178,1291,47,187
"Wilson County, Tennessee",63884,1047,47,189
"Box Elder County, Utah",22714,572,49,003
"Cache County, Utah",56058,1085,49,005
"Daggett County, Utah",271,3,49,009
"Davis County, Utah",155085,2126,49,011
"Emery County, Utah",3657,124,49,015
"Garfield County, Utah",1933,26,49,017
"Grand County, Utah",4883,101,49,019
"Iron County, Utah",21294,363,49,021
"Juab County, Utah",4642,131,49,023
"Kane County, Utah",2961,23,49,025
"Millard County, Utah",5094,151,49,027
"Morgan County, Utah",4556,87,49,029
"Piute County, Utah",522,11,49,031
"Rich County, Utah",802,9,49,033
"Salt Lake County, Utah",536376,5957,49,035
"San Juan County, Utah",5129,260,49,037
"Sanpete County, Utah",11241,555,49,039
"Sevier County, Utah",8009,183,49,041
"Summit County, Utah",18537,263,49,043
"Tooele County, Utah",30279,264,49,045
"Uintah County, Utah",13420,255,49,047
"Utah County, Utah",258622,4010,49,049
"Wasatch County, Utah",14529,118,49,051
"Washington County, Utah",64290,884,49,053
"Wayne County, Utah",953,41,49,055
"Weber County, Utah",115638,1895,49,057
"Bennington County, Vermont",14683,320,50,003
"Caledonia County, Vermont",13489,456,50,005
"Essex County, Vermont",2567,96,50,009
"Franklin County, Vermont",23209,257,50,011
"Lamoille County, Vermont",12727,162,50,015
"Orange County, Vermont",13594,313,50,017
"Rutland County, Vermont",27152,646,50,021
"Washington County, Vermont",27740,268,50,023
"Windsor County, Vermont",25051,436,50,027
"Accomack County, Virginia",12590,232,51,001
"Watonwan County, Minnesota",4991,186,27,165
"Cass County, Missouri",48099,812,29,037
"Christian County, Missouri",40125,626,29,043
"Clinton County, Missouri",8633,190,29,049
"Crawford County, Missouri",8931,360,29,055
"Daviess County, Missouri",3294,170,29,061
"Douglas County, Missouri",4717,70,29,067
"Gasconade County, Missouri",6583,277,29,073
"Grundy County, Missouri",3933,27,29,079
"Hickory County, Missouri",2729,189,29,085
"Howell County, Missouri",14857,396,29,091
"Jasper County, Missouri",52613,581,29,097
"Johnson County, Missouri",25147,406,29,101
"Lafayette County, Missouri",14120,422,29,107
"Lincoln County, Missouri",25675,820,29,113
"McDonald County, Missouri",8699,181,29,119
"Maries County, Missouri",3386,102,29,125
"Miller County, Missouri",10906,248,29,131
"Monroe County, Missouri",3556,147,29,137
"New Madrid County, Missouri",6449,113,29,143
"Oregon County, Missouri",3516,77,29,149
"Pemiscot County, Missouri",5314,111,29,155
"Shannon County, Missouri",2641,101,29,203
"Stone County, Missouri",11316,189,29,209
"Texas County, Missouri",8798,244,29,215
"Washington County, Missouri",8518,519,29,221
"Worth County, Missouri",807,82,29,227
"St. Louis city, Missouri",142998,3211,29,510
"Bay County, Florida",79828,1834,12,005
"Broward County, Florida",890819,22005,12,011
"Citrus County, Florida",42898,1810,12,017
"Columbia County, Florida",24687,611,12,023
"Duval County, Florida",432456,6488,12,031
"Franklin County, Florida",3956,91,12,037
"Glades County, Florida",3466,225,12,043
"Hardee County, Florida",9025,230,12,049
"Highlands County, Florida",31889,1009,12,055
"Indian River County, Florida",53970,1605,12,061
"Lafayette County, Florida",2645,113,12,067
"Leon County, Florida",135010,1235,12,073
"Liberty County, Florida",2430,109,12,077
"Marion County, Florida",121118,2732,12,083
"Monroe County, Florida",37032,694,12,087
"Okeechobee County, Florida",14747,748,12,093
"Arthur County, Nebraska",190,3,31,005
"Boone County, Nebraska",2483,32,31,011
"Brown County, Nebraska",1243,23,31,017
"Butler County, Nebraska",3808,59,31,023
"Wadena County, Minnesota",5360,158,27,159
"Chase County, Nebraska",1672,8,31,029
"Clay County, Nebraska",2835,38,31,035
"Cuming County, Nebraska",4376,61,31,039
"Dawes County, Nebraska",3962,31,31,045
"Dixon County, Nebraska",2763,32,31,051
"Dundy County, Nebraska",911,8,31,057
"Frontier County, Nebraska",1148,14,31,063
"Garden County, Nebraska",668,0,31,069
